baseline_name,config_name,baseline_category,kind,config_params,implemented,uses_attention_checkpoint,filter_used
cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":3.0,""horizon"":4.5}",1,0,0
cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":5.0,""horizon"":4.5}",1,0,0
cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":2.1,""cpa_trigger"":1.8,""d_reactive"":4.0,""horizon"":4.5}",1,0,0
cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":2.1,""cpa_trigger"":3.0,""d_reactive"":4.0,""horizon"":4.5}",1,0,0
cpa_reactive_sweep,cpa_reactive_h3,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":3.0}",1,0,0
cpa_reactive_sweep,cpa_reactive_h6,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":6.0}",1,0,0
cpa_reactive_sweep,cpa_reactive_w14,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":1.4,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":4.5}",1,0,0
cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,cpa_reactive,"{""avoid_weight"":2.8,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":4.5}",1,0,0
distance_filter,distance_filter_d1p5_beta0p5,safety_filter,distance_filter,"{""beta"":0.5,""d_filter"":1.5}",1,1,1
distance_filter,distance_filter_d1p5_beta0p8,safety_filter,distance_filter,"{""beta"":0.8,""d_filter"":1.5}",1,1,1
distance_filter,distance_filter_d2_beta0p5,safety_filter,distance_filter,"{""beta"":0.5,""d_filter"":2.0}",1,1,1
distance_filter,distance_filter_d2_beta0p8,safety_filter,distance_filter,"{""beta"":0.8,""d_filter"":2.0}",1,1,1
distance_filter,distance_filter_d2p5_beta0p5,safety_filter,distance_filter,"{""beta"":0.5,""d_filter"":2.5}",1,1,1
distance_filter,distance_filter_d2p5_beta0p8,safety_filter,distance_filter,"{""beta"":0.8,""d_filter"":2.5}",1,1,1
cpa_ttc_filter,cpa_ttc_filter_h3_cpa1p2,safety_filter,cpa_ttc_filter,"{""beta"":0.8,""cpa_safe"":1.2,""horizon"":3.0}",1,1,1
cpa_ttc_filter,cpa_ttc_filter_h3_cpa1p5,safety_filter,cpa_ttc_filter,"{""beta"":0.8,""cpa_safe"":1.5,""horizon"":3.0}",1,1,1
cpa_ttc_filter,cpa_ttc_filter_h3_cpa2,safety_filter,cpa_ttc_filter,"{""beta"":0.8,""cpa_safe"":2.0,""horizon"":3.0}",1,1,1
cpa_ttc_filter,cpa_ttc_filter_h4p5_cpa1p2,safety_filter,cpa_ttc_filter,"{""beta"":0.8,""cpa_safe"":1.2,""horizon"":4.5}",1,1,1
cpa_ttc_filter,cpa_ttc_filter_h4p5_cpa1p5,safety_filter,cpa_ttc_filter,"{""beta"":0.8,""cpa_safe"":1.5,""horizon"":4.5}",1,1,1
cpa_ttc_filter,cpa_ttc_filter_h4p5_cpa2,safety_filter,cpa_ttc_filter,"{""beta"":0.8,""cpa_safe"":2.0,""horizon"":4.5}",1,1,1
vo_like_filter,vo_like_filter_h45_cpa1p2_h16,safety_filter,vo_like_filter,"{""cpa_safe"":1.2,""horizon"":4.5,""num_headings"":16}",1,1,1
vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,vo_like_filter,"{""cpa_safe"":1.5,""horizon"":4.5,""num_headings"":16}",1,1,1
vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,vo_like_filter,"{""cpa_safe"":2.0,""horizon"":4.5,""num_headings"":16}",1,1,1
